#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180521-212940.856;20180521-212941.000;37.78890230;-122.39849100;15.0;244.7;190.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212941.357;20180521-212941.000;37.78890230;-122.39849100;15.0;244.7;180.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212941.858;20180521-212941.000;37.78890230;-122.39849100;15.0;244.7;187.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212942.359;20180521-212941.000;37.78890230;-122.39849100;15.0;244.7;190.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212942.861;20180521-212943.000;37.78890000;-122.39851400;13.0;255.6;190.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212943.361;20180521-212943.000;37.78890000;-122.39851400;13.0;255.6;196.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212943.864;20180521-212944.000;37.78889470;-122.39853700;13.0;258.7;182.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212944.363;20180521-212944.000;37.78889470;-122.39853700;13.0;258.7;194.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212944.866;20180521-212945.000;37.78889000;-122.39856000;15.0;258.8;185.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212945.366;20180521-212945.000;37.78889000;-122.39856000;15.0;258.8;196.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212945.870;20180521-212946.000;37.78888320;-122.39858200;16.0;256.2;186.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212946.369;20180521-212946.000;37.78888320;-122.39858200;16.0;256.2;194.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212946.870;20180521-212947.000;37.78887560;-122.39860000;17.0;251.6;189.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212947.371;20180521-212947.000;37.78887560;-122.39860000;17.0;251.6;195.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212947.873;20180521-212948.000;37.78886800;-122.39860500;18.0;251.6;191.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212948.373;20180521-212948.000;37.78886800;-122.39860500;18.0;251.6;200.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212948.875;20180521-212949.000;37.78885650;-122.39861300;17.0;234.3;203.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212949.377;20180521-212949.000;37.78885650;-122.39861300;17.0;234.3;213.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212949.877;20180521-212950.000;37.78885000;-122.39861300;18.0;234.3;205.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212950.377;20180521-212950.000;37.78885000;-122.39861300;18.0;234.3;204.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212950.878;20180521-212951.000;37.78884510;-122.39862100;18.0;224.0;203.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212951.379;20180521-212951.000;37.78884510;-122.39862100;18.0;224.0;202.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212951.879;20180521-212952.000;37.78884510;-122.39862800;18.0;224.0;213.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212952.382;20180521-212952.000;37.78884510;-122.39862800;18.0;224.0;193.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212952.884;20180521-212953.000;37.78884000;-122.39863600;17.0;234.6;199.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212953.384;20180521-212953.000;37.78884000;-122.39863600;17.0;234.6;183.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212953.886;20180521-212954.000;37.78883360;-122.39864300;18.0;234.6;191.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212954.386;20180521-212954.000;37.78883360;-122.39864300;18.0;234.6;182.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212954.887;20180521-212955.000;37.78883000;-122.39865100;16.0;234.6;191.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212955.390;20180521-212955.000;37.78883000;-122.39865100;16.0;234.6;187.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212955.890;20180521-212956.000;37.78883000;-122.39866600;16.0;252.0;186.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212956.390;20180521-212956.000;37.78883000;-122.39866600;16.0;252.0;186.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212956.891;20180521-212957.000;37.78882600;-122.39868900;15.0;258.0;187.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212957.395;20180521-212957.000;37.78882600;-122.39868900;15.0;258.0;191.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212957.894;20180521-212958.000;37.78882000;-122.39871200;13.0;257.2;190.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212958.395;20180521-212958.000;37.78882000;-122.39871200;13.0;257.2;189.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212958.896;20180521-212959.000;37.78880690;-122.39873500;13.0;250.8;176.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212959.398;20180521-212959.000;37.78880690;-122.39873500;13.0;250.8;182.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212959.897;20180521-213000.000;37.78879550;-122.39875800;12.0;246.4;170.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213000.400;20180521-213000.000;37.78879550;-122.39875800;12.0;246.4;176.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213000.899;20180521-213001.000;37.78878780;-122.39877300;12.0;243.9;163.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213001.402;20180521-213001.000;37.78878780;-122.39877300;12.0;243.9;165.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213001.902;20180521-213002.000;37.78878000;-122.39878800;12.0;242.6;160.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213002.406;20180521-213002.000;37.78878000;-122.39878800;12.0;242.6;164.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213002.905;20180521-213003.000;37.78877260;-122.39879600;12.0;235.7;165.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213003.408;20180521-213003.000;37.78877260;-122.39879600;12.0;235.7;161.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213003.908;20180521-213004.000;37.78876500;-122.39880000;12.0;235.7;161.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213004.409;20180521-213004.000;37.78876500;-122.39880000;12.0;235.7;158.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213004.913;20180521-213005.000;37.78875730;-122.39881100;11.0;230.1;159.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
